component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
Generator,onwind_existing Z10,onwind,Z10,138.6,0,MW,True
Generator,onwind_existing Z11,onwind,Z11,257.9,0,MW,True
Generator,onwind_existing Z12,onwind,Z12,403.4,0,MW,True
Generator,onwind_existing Z13,onwind,Z13,967.3,0,MW,True
Generator,onwind_existing Z14,onwind,Z14,13.6,0,MW,True
Generator,onwind_existing Z15,onwind,Z15,71.8,0,MW,True
Generator,onwind_existing Z16,onwind,Z16,69.3,0,MW,True
Generator,onwind_existing Z17,onwind,Z17,252.5,0,MW,True
Generator,solar Z1_1,solar,Z1_1,889.727,0,MW,False
Generator,solar Z1_2,solar,Z1_2,229.145,0,MW,False
Generator,solar Z1_3,solar,Z1_3,0,0,MW,False
Generator,solar Z1_4,solar,Z1_4,0,0,MW,False
Generator,solar Z2,solar,Z2,6932.35,0,MW,False
Generator,solar Z3,solar,Z3,0,0,MW,False
Generator,solar Z4,solar,Z4,1978.26,0,MW,False
Generator,solar Z5,solar,Z5,0,0,MW,False
Generator,solar Z6,solar,Z6,0,0,MW,False
Generator,solar Z7,solar,Z7,8123.4,0,MW,False
Generator,solar Z8,solar,Z8,10122.7,0,MW,False
Generator,solar Z9,solar,Z9,99.5734,0,MW,False
Generator,solar Z10,solar,Z10,4057.1,0,MW,False
Generator,solar Z11,solar,Z11,2096.58,0,MW,False
Generator,solar Z12,solar,Z12,12414.8,0,MW,False
Generator,solar Z13,solar,Z13,15805.5,0,MW,False
Generator,solar Z14,solar,Z14,2676.05,0,MW,False
Generator,solar Z15,solar,Z15,2162.42,0,MW,False
Generator,solar Z16,solar,Z16,7124.23,0,MW,False
Generator,solar Z17,solar,Z17,10636.3,0,MW,False
Generator,solar_existing Z1_3,solar,Z1_3,0.7,0,MW,True
Generator,solar_existing Z1_4,solar,Z1_4,0.3,0,MW,True
Generator,solar_existing Z2,solar,Z2,90.93,0,MW,True
Generator,solar_existing Z3,solar,Z3,51.53,0,MW,True
Generator,solar_existing Z4,solar,Z4,2.1,0,MW,True
Generator,solar_existing Z5,solar,Z5,158.56,0,MW,True
Generator,solar_existing Z7,solar,Z7,302.89,0,MW,True
Generator,solar_existing Z8,solar,Z8,693.92,0,MW,True
Generator,solar_existing Z9,solar,Z9,509.99,0,MW,True
Generator,solar_existing Z10,solar,Z10,955.85,0,MW,True
Generator,solar_existing Z11,solar,Z11,1771.86,0,MW,True
Generator,solar_existing Z12,solar,Z12,2328.95,0,MW,True
Generator,solar_existing Z13,solar,Z13,2847.96,0,MW,True
Generator,solar_existing Z14,solar,Z14,193.54,0,MW,True
Generator,solar_existing Z15,solar,Z15,998.2,0,MW,True
Generator,solar_existing Z16,solar,Z16,1140.21,0,MW,True
Generator,solar_existing Z17,solar,Z17,2088.52,0,MW,True
Generator,offwind DOGGER_BANK,offwind,Z8,0,0,MW,False
Generator,offwind HORNSEA,offwind,Z8,0,0,MW,False
Generator,offwind EAST_ANGLIA,offwind,Z12,0,0,MW,False
Generator,offwind Z2,offwind,Z2,0,0,MW,False
Generator,offwind Z7,offwind,Z7,0,0,MW,False
Generator,offwind Z15,offwind,Z15,0,0,MW,False
Generator,offwind Z16,offwind,Z16,0,0,MW,False
